college,colors
Lubbock Christian Chaparralsaka Lubbock Christian Lady Chaps,#10147E
MIT Engineers,#A31F34
MSOE Raidersaka Milwaukee School of Engineering Raiders,#ba122b
Macalester Scots,#01426A
Maine Black Bears,#003263
Malone Pioneers,#003E7E
Manhattan Jaspersaka Manhattan Lady Jaspers,#00703C
Manhattanville Valiants,#A60438
Manitoba Bisons,#562E18
Mansfield Mountaineers,#D3103E
Marian Knights,#031E51
Marian Sabresaka Marian Sabers,#003da5
Marist College,#C8102E
Marquette,#003366
Marshall Thundering Herd,#00B140
Martin Methodist RedHawks,#A6192E
Mary Marauders,#00539B
Maryland Eastern Shore Hawksaka UMES Hawks,#822433
Maryland,#E21833
Maryville Saints,#C8102E
Massachusetts College of Liberal Arts Trailblazersaka MCLA Trailblazers,#25408f
Massachusetts Maritime Academy Buccaneersaka Massachusetts Maritime Buccaneers,#002066
McDaniel Green Terror,#00674D
McGill Redbirdsaka McGill Redmenaka McGill Martlets,#CD202C
McKendree Bearcats,#470A68
McNeese State Cowboysaka McNeese State Cowgirls,#00529B
McPherson Bulldogs,#CC0000
Memphis,#003087
Mercer Bearsaka Mercer Baptists,#000000
Mercyhurst Lakers,#006633
Merrimack Warriors,#003768
Metro Atlantic Athletic Conference,#004FA3
Metro State Roadrunners,#00447C
Miami,#005030
Miami University,#B61E2E
Michigan State,#173F35
Michigan Tech Huskies,#000000
Michigan,#00274C
Mid-America Intercollegiate Athletics Associationaka The MIAA,#003E7E
Mid-American Conference,#0C2950
MidAmerica Nazarene Pioneers,#071D49
Middle Tennessee State Blue Raidersaka Middle Tennessee Blue Raiders,#0066CC
Middlebury Panthers,#003882
Midwestern State Mustangs,#862633
Miles Golden Bears,#580D69
Millersville Marauders,#000000
Millsaps Majors,#330066
Milwaukee Panthers,#222222
Minnesota,#862334
Minnesota Intercollegiate Athletic Conferenceaka MIAC,#006241
Minnesota Morris Cougars,#8C1919
Minnesota State Mavericksaka MSU-Mankato Mavericksaka Minnesota State–Mankato Mavericksaka Mankato State Mavericks,#480059
Minnesota State–Moorhead Dragons,#A6192E
Minnesota–Crookston Golden Eaglesaka Minnesota Crookston Golden Eaglesaka Minnesota-Crookston Golden Eagles,#7A0019
Minnesota–Duluth Bulldogsaka Minnesota Duluth Bulldogs,#7A0019
Minot State Beavers,#006341
Mississippi College Choctaws,#003057
Mississippi State,#5D1725
Mississippi Valley State Delta Devilsaka Mississippi Valley State Devilettes,#046A38
Missouri S&T Miners,#154734
Missouri Southern Lions,#00693E
Missouri State Bearsaka Missouri State Lady Bears,#5E0009
Missouri Tigers,#000000
Missouri Valley Conferenceaka Missouri Valley Football Conference,#DF3742
Missouri Western Griffons,#000000
Monmouth Hawks,#041E42
Montana,#660033
Montana State Billings Yellowjackets,#002F5F
Montana State Bobcats,#00205B
Montana Tech Orediggers,#315338
Montevallo Falcons,#49176D
Morehead State Eagles,#005EB8
Morehouse Maroon Tigers,#891E31
Morgan State Bearsaka Morgan State Lady Bears,#002D74
Morrisville State Mustangsaka Morrisville Mustangsaka SUNY Morrisville Mustangs,#004730
Mount Mercy Mustangs,#003768
Mount St. Mary's Mountaineers,#002F6C
Mount Union Purple Raiders,#661C78
Mountain West Conference,#4F2D7F
Murray State Racersaka Murray State Thoroughbreds,#002144
Music City Bowl,#131C43
NAIAaka National Association of Intercollegiate Athletics,#004990
NC State,#CC0000
NCAA Division Iaka NCAA Division IIIaka National Collegiate Athletic Association,#009CDE
NCAA Division II,#009CDE
NJIT Highlanders,#CC0000
NU Bulldogs,#373C96
NYIT Bears,#242C39
NYU Violetsaka New York University Violets,#57068C
National Collegiate Hockey Conferenceaka NCHC,#b5121b
Navy Midshipmen,#00225B
Nazareth Golden Flyers,#4b375e
Nebraska Cornhuskers,#E41C38
Nebraska–Kearney Lopers,#002F6C
Neumann Knights,#003466
Nevada Wolf Packaka Nevada Sagebrushers,#003366
New England College Pilgrimsaka New England Pilgrims,#000F30
New England Nor'eastersaka New England Noreastersaka U of New England Nor'eastersaka University of New England Nor'eastersaka U of New England Noreastersaka University of New England Noreasters,#003882
New Hampshire Wildcats,#041E42
New Haven Chargers,#004B8D
New Mexico Highlands Cowboysaka New Mexico Highlands Cowgirls,#502D7F
New Mexico Lobos,#BA0C2F
New Mexico State,#891216
New Orleans Privateersaka UNO Privateers,#005CA6
Newman Jets,#051C48
Niagara,#582C83
Nicholls State Colonelsaka Nicholls Colonels,#C41230
Nichols Bison,#000000
Norfolk State Spartans,#007A53
North Alabama Lions,#46166B
North Carolina A&T Aggies,#004684
North Carolina Central Eagles,#862633
UNC,#7BAFD4
North Dakota Fighting Hawksaka North Dakota Fighting Siouxaka North Dakota,#009A44
North Dakota State Bison,#005643
North Florida Ospreys,#00246B
North Georgia Nighthawks,#002F87
North Greenville Crusaders,#000000
North Texas Mean Greenaka North Texas Eagles,#00853E
Northeast Conference,#0D67A4
Northeastern University,#D41B2C
Northeastern State RiverHawks,#276444
Northern Arizona Lumberjacks,#003466
Northern Colorado Bearsaka Colorado State College Bearsaka Colorado State Bears,#013C65
Northern Illinois Huskiesaka NIU Huskies,#BA0C2F
Northern Iowa Panthers,#4B116F
Northern Kentucky Norse,#000000
Northern Michigan Wildcats,#095339
Northern State Wolves,#990033
Northland Lumberjacksaka Northland Lumberjills,#DC4405
Northwest Missouri State Bearcats,#006A4E
Northwest Nazarene Nighthawksaka Northwest Nazarene Crusaders,#B51946
Northwestern Oklahoma State Rangers,#000000
Northwestern State Demonsaka Northwestern State Lady Demons,#492F92
Northwestern Wildcats,#4E2A84
Northwood Timberwolves,#093161
Norwich Cadets,#87212e
Notre Dame,#0C2340
Notre Dame de Namur Argonauts,#003263
Nova Southeastern Sharks,#003893
Oakland Golden Grizzlies,#000000
Oberlin Yeomen,#CF102D
Occidental Tigers,#000000
Oglethorpe Stormy Petrels,#000000
Ohio,#00694E
Ohio Dominican,#000000
Ohio State,#CE0F3E
Ohio Valley Conference,#A51341
Oklahoma Baptist Bison,#255F2B
Oklahoma Christian Eagles,#660000
Oklahoma City Stars,#004B87
Oklahoma Panhandle State Aggies,#001F5B
Oklahoma,#841617
Oklahoma State,#FE5C00
Oklahoma Wesleyan Eagles,#071D49
Old Dominion,#003767
Ole Miss Rebelsaka Mississippi Rebelsaka Mississippi Flood,#14213D
Omaha Mavericksaka UNO Mavericksaka Nebraska–Omaha Mavericks,#000000
Oral Roberts Golden Eagles,#002F60
Orange Bowl,#F47B2A
Oregon,#036936
Oregon State,#D73F09
Ottawa Braves,#000000
Ottawa Gee-Gees,#651D32
Ouachita Baptist Tigers,#552988
Pac-12 Conferenceaka Pacific-12 Conference,#004B91
Pace Setters,#00337F
Pacific Tigers,#000000
Pacific West Conference,#4196B4
Paine Lions,#59178A
Patriot League,#15366F
Peach Bowl,#00549E
Penn Quakersaka Pennsylvania Quakers,#011F5B
Penn State Nittany Lionsaka Penn State Lady Lions,#001E44
Pennsylvania State Athletic Conference,#003DA5
Pepperdine Waves,#00205C
Peru State Bobcats,#0D4D92
Pittsburg State Gorillas,#CC0C2F
Pitt,#003594
Pittsburgh–Johnstown Mountain Catsaka Pitt-Johnstown Mountain Cats,#1C2957
Plymouth State Panthers,#135841
Point Loma Nazarene Sea Lions,#0E553F
Point Skyhawks,#00407A
Pomona College,#20438F
Pomona-Pitzer Sagehens,#20438F
Portland Pilots,#330072
Portland State Vikings,#154734
Post Eagles,#5E2750
Prairie View Panthersaka Prairie View A&M Panthers,#4F2582
Presbyterian Blue Hose,#0060A9
Princeton,#000000
Providence,#000000
Purdue,#000000
Purdue Fort Wayne Mastodons,#000000
Purdue–Northwest Prideaka Purdue-Northwest Pride,#000000
Queens Knightsaka Queens College Knights,#00263E
Quincy Hawks,#581E00
Quinnipiac Bobcatsaka Quinnipiac Braves,#0A2240
RIT Tigers,#F76902
RPI Engineersaka Rensselaer Engineers,#E2231B
Radford Highlanders,#C2011B
Ramapo Roadrunners,#87212e
Randolph–Macon Yellow Jacketsaka Randolph-Macon Yellow Jackets,#000000
Regina Rams,#004F2E
Regis Rangers,#002B49
Rhode Island Ramsaka University of Rhode Island Rams,#74B4E6
Rice University,#00205B
Richmond Spiders,#002B5E
Rider Broncs,#981E32
Riverside City Tigers,#000000
Rivier Raiders,#004C97
Robert Morris Colonialsaka RMU Colonials,#14234B
Rochester Yellowjackets,#003B71
Rockhurst Hawks,#0046AD
Rocky Mountain Athletic Conference,#022E64
Roger Williams Hawks,#003d6e
Rogers State Hillcats,#002244
Rollins Tars,#0071BA
Rose Bowl Game,#E2231A
Rowan Profs,#3F1A0A
Rutgers Scarlet Knights,#CC0033
Ryerson Rams,#002D72
SIU Edwardsville Cougars,#CC0000
SMU Mustangsaka Southern Methodist University Mustangs,#CC0035
SUNY Alfred Pioneersaka Alfred State Pioneersaka Alfred Pioneers,#003C71
SUNY Brockport Golden Eaglesaka Brockport Golden Eaglesaka Brockport State Golden Eagles,#00533e
SUNY Canton Roosaka Canton State Kangaroosaka Canton Kangaroosaka Canton Roosaka SUNY Canton Kangaroosaka Canton State Roos,#004B8D
SUNY Cobleskill Tigersaka Cobleskill Tigersaka Cobleskill State Tigers,#FE5000
SUNY Delhi Broncosaka Delhi Broncosaka Delhi State Broncos,#2C5234
SUNY Fredonia Blue Devilsaka Fredonia Blue Devilsaka Fredonia State Blue Devils,#0033A0
SUNY Geneseo Knightsaka Geneseo Knightsaka Geneseo State Knights,#003896
SUNY New Paltz Hawksaka New Paltz State Hawksaka New Paltz Hawks,#00205b
SUNY Oneonta Red Dragonsaka Oneonta Red Dragonsaka Oneonta Red State Dragons,#cb2c30
SUNY Oswego Lakersaka Oswego State Lakersaka Oswego Lakers,#235937
SUNY Plattsburgh Cardinalsaka Plattsburgh State Cardinalsaka Plattsburgh Cardinals,#C8102E
SUNY Potsdam Bearsaka Potsdam Bearsaka Potsdam State Bears,#8A1538
Sacramento State Hornets,#043927
Sacred Heart Pioneers,#CD1041
Saginaw Valley State Cardinals,#AC162A
Saint Anselm Hawks,#143E5F
Saint Benedict Blazersaka Saint Benedict Bennies,#be0f34
Saint Francis University,#BD1F25
Saint John's,#be0f34
Saint Joseph's,#9E1B32
Saint Joseph's Pumas,#41136C
Saint Leo Lions,#205C40
Saint Louis Billikens,#003DA5
Saint Martin's Saints,#BF0C26
Saint Mary Spires,#0D223F
Saint Mary's Cardinals,#C8102E
Saint Mary's,#06315B
Saint Michael's Purple Knights,#5E2278
Saint Peter's Peacocksaka Saint Peter's Peahens,#2C2A29
Saint Rose Golden Knights,#000000
Salem State Vikings,#1A3B8C
Salve Regina Seahawks,#0069aa
Sam Houston State Bearkats,#F56423
Samford Bulldogsaka Howard Bulldogs,#0C2340
San Diego State,#C41230
San Diego Toreros,#003B70
San Francisco,#00543C
San Francisco State Gators,#52247F
San Jose State Spartansaka San José State Spartans,#1E5AAF
Santa Clara,#862633
Saskatchewan Huskies,#00693E
Savannah State Tigersaka Savannah State Lady Tigers,#002294
Scranton Royals,#4a245e
Scripps College,#34715B
Seattle Pacific Falcons,#7B1416
Seattle University,#AA0000
Seton Hall,#004488
Seton Hill Griffins,#BF0033
Sewanee Tigers,#582C83
Shippensburg Red Raiders,#002395
Shorter Hawks,#0068B3
Siena Saintsaka Siena Indians,#006747
Simon Fraser Clan,#CC0633
Sioux Falls Cougars,#492F91
Skidmore Thoroughbreds,#006A52
Slippery Rock The Rockaka Slippery Rock,#006951
Sonoma State Seawolves,#003366
South Alabama Jaguars,#00205B
South Carolina,#73000A
South Carolina State Bulldogs,#841A2B
South Carolina–Beaufort Sand Sharks,#061844
South Dakota Coyotes,#AD0000
South Dakota Mines Hardrockers,#071D49
South Dakota State Jackrabbits,#0032A0
South Florida Bulls,#006747
Southeast Missouri State Redhawks,#C8102E
Southeastern Conference,#004B8D
Southeastern Fire,#000000
Southeastern Louisiana Lionsaka Southeastern Louisiana Lady Lions,#006341
Southeastern Oklahoma State Savage Storm,#0033A0
Southern Arkansas Muleriders,#003DA5
Southern Conference,#001489
Southern Connecticut Owlsaka Southern Connecticut Fighting Owls,#001489
Southern Illinois Salukis,#660000
Southern Indiana Screaming Eagles,#002856
Southern University and A&M College,#05356E
Southern Maine Huskiesaka USM Huskies,#1E3B78
Southern Miss Golden Eaglesaka Southern Miss Lady Eagles,#000000
Southern Nazarene Crimson Storm,#891717
Southern New Hampshire Penmen,#1A326C
Southern Oregon Raiders,#C8102E
Southern Utah Thunderbirds,#C41425
Southland Conference,#00264B
Southwest Baptist Bearcats,#4A217E
Southwest Minnesota State Mustangs,#3A1807
Southwestern Moundbuilders,#8031A7
Southwestern Oklahoma State Bulldogs,#1B365D
Southwestern Pirates,#000000
Spring Hill Badgers,#49176D
Springfield Prideaka Springfield Maroonsaka Springfield Gymnastsaka Springfield Chiefs,#862633
St. Bonaventure Bonniesaka St. Bonaventure Brown Squawsaka St. Bonaventure Brown Indians,#54261A
St. Catherine Wildcats,#491A6A
St. Cloud State Huskies,#A10209
St. Edward's Hilltoppers,#002566
St. Francis Brooklyn Terriers,#0038A8
St. John's,#C3002F
St. Lawrence Saints,#AF1E2D
St. Mary's Rattlers,#004C97
St. Norbert Green Knightsaka Saint Norbert Green Knights,#1A472B
St. Olaf Olesaka Saint Olaf Oles,#000000
St. Scholastica Saintsaka College of St. Scholastica Saintsaka Saint Scholastica Saints,#0033a0
St. Thomas (Minnesota) Tommiesaka St. Thomas Minnesota Tommiesaka Saint Thomas Minnesota Tommiesaka Saint Thomas (Minnesota) Tommies,#522874
Stanford,#8C1515
Stanislaus State Warriors,#E31B23
Stephen F. Austin Lumberjacksaka Stephen F. Austin Ladyjacks,#5F259F
Sterling Warriors,#9B2743
Stetson Hatters,#006747
Stevenson Mustangs,#004E42
Stillman Tigers,#16304B
Stonehill Skyhawks,#2F2975
Stony Brook Seawolvesaka Stony Brook Soundmenaka Stony Brook Warriorsaka Stony Brook Baymenaka Stony Brook Patriots,#990000
Suffolk Rams,#142f53
Sugar Bowl,#014B94
Summit League,#00549E
Sun Belt Conference,#0C2340
Sunshine State Conference,#0032A0
Swarthmore Garnet,#9D2235
Syracuse,#D44500
TCU Horned Frogs,#4D1979
Tabor Bluejays,#002D72
Tampa Spartans,#000000
Tarleton State Texansaka Tarleton State TexAnns,#4F2D7F
Temple,#990033
Tennessee State,#00539F
Tennessee Tech Golden Eagles,#4F2984
Tennessee,#FF8200
Texas A&M,#500000
Texas A&M International Dustdevils,#61162D
Texas A&M–Commerce Lionsaka Texas A&M-Commerce Lions,#0A2846
Texas A&M–Corpus Christi Islandersaka Texas A&M-Corpus Christi Islanders,#0067C5
Texas-El Paso,#041E42
Texas,#BF5700
Texas Southern,#6F263D
Texas State Bobcatsaka Southwest Texas State Bobcats,#501214
Texas Tech Red Raidersaka Texas Tech Lady Raiders,#CC0000
Texas Woman's Pioneers,#850928
Texas–Arlington Mavericksaka UT Arlington Mavericksaka Texas-Arlington Mavericks,#0064B1
Texas–Pan American Broncsaka Texas-Pan American Broncsaka UTPA Broncs,#006600
Texas–Permian Basin Falcons,#E35205
Tiffin Dragons,#00623B
Toledo,#003E7E
Toronto Varsity Blues,#00204e
Towson Tigers,#000000
Transylvania Pioneersaka Kentucky University Pioneers,#B20D35
Trine Thunder,#00305c
Trinity Bantams,#00305C
Trinity Valley CC,#FF0000
Troy Trojans,#6D0017
Truman Bulldogs,#510C76
Tufts Jumbos,#3E8EDE
Tulane Green Waveaka Tulane Olive and Blue,#005837
Tulsa,#002D72
Tuskegee Golden Tigers,#7B0707
UAB Blazers,#1E6B52
UBC Thunderbirds,#002145
UC Davis Aggies,#002855
UC Irvine Anteaters,#0C2340
UC Merced Golden Bobcats,#072B31
UC Riverside Highlanders,#003DA5
UC San Diego Tritonsaka UCSD Tritons,#182B49
UC Santa Barbara Gauchosaka UCSB Gauchos,#004D9F
UC Santa Cruz Banana Slugs,#0F1640
UCF Knights,#000000
UCLA,#2D68C4
UE Red Warriorsaka UE Junior Warriors,#ED2939
UHV Jaguars,#E81C18
UIC Flames,#091F40
UIS Prairie Stars,#0C2340
UMBC Retrievers,#000000
UMSL Tritons,#B5121B
UMass Boston Beaconsaka Massachusetts–Boston Beaconsaka Massachusetts-Boston Beaconsaka Massachusetts Boston Beacons,#005A8B
UMass Dartmouth Corsairsaka Massachusetts Dartmouth Corsairsaka Massachusetts–Dartmouth Corsairsaka Massachusetts-Dartmouth Corsairs,#003764
UMass Lowell River Hawks,#00549F
UMass Minutemenaka Massachusetts Minutewomenaka Massachusetts Redmenaka Massachusetts State Aggiesaka UMass Redmenaka Massachusetts Minutemenaka UMass Minutewomen,#881C1C
UNC Asheville Bulldogs,#003DA5
UNC Greensboro Spartans,#0F2044
UNC Pembroke Braves,#000000
UNC Wilmington Seahawks,#006666
UNLV,#CF0A2C
UP Fighting Maroonsaka UP Parrots,#7B1113
USC Aiken Pacers,#75263B
USC,#9D2235
USC Upstate Spartans,#046A38
UST Growling Tigersaka UST Glowing Goldies,#FCBF15
UT Martin Skyhawksaka Tennessee–Martin Skyhawksaka Tennessee-Martin Skyhawks,#002649
UTEP Minersaka Texas Western Miners,#041E42
University of Texas Rio Grande Valley,#F05023
UTSA Roadrunners,#002244
Union Bulldogs,#AA0C31
Union Dutchmenaka Union Dutchwomen,#822433
Upper Iowa Peacocks,#0D1030
Utah State Aggies,#00263A
Utah,#CC0000
Utah Valley Wolverines,#275D38
Utica Pioneers,#0c223f
VCU Rams,#000000
VMI Keydets,#AE122A
Valdosta State Blazers,#CC0000
Valparaiso Beaconsaka Valparaiso Crusaders,#381E0E
Vanderbilt,#000000
Vermont Catamounts,#005710
Villanova,#00205B
Virginia Cavaliers,#232D4B
Virginia Tech,#861F41
Virginia Union University,#991F36
Wagner Seahawks,#004331
Wake Forest,#2C2A29
Walsh Cavaliers,#6D0020
Washburn Ichabods,#003A70
Washington & Jefferson Presidentsaka Washington and Jefferson Presidents,#000000
Washington,#4B2E83
Washington State,#981E32
Washington University Bearsaka WUSTL Bears,#A51417
Washington and Lee Generalsaka Washington & Lee Generals,#003399
Wayne State Warriors,#115E56
Wayne State Wildcats,#000000
Weber State,#4B2682
Wentworth Institute of Technology Leopardsaka Wentworth Leopardsaka WIT Leopards,#cf142b
Wesleyan Cardinals,#d72121
West Alabama Tigers,#A6192E
West Chester Golden Rams,#540E69
West Coast Conference,#24CAD2
West Florida Argonauts,#0072CE
West Georgia Wolves,#0033A1
West Liberty Hilltoppers,#000000
West Texas A&M Buffaloes,#581818
West Virginia,#002855
West Virginia State Yellow Jackets,#000000
Western Athletic Conference,#98002E
Western Carolina Catamounts,#592C88
Western Colorado Mountaineersaka Western State Colorado Mountaineers,#A71930
Western Illinois Leathernecks,#663399
Western Kentucky Hilltoppersaka Western Kentucky Lady Toppersaka WKU Hilltoppersaka WKU Lady Toppers,#B01E24
Western Michigan Broncos,#6C4023
Western Mustangsaka Western Ontario Mustangs,#512888
Western New England Golden Bears,#003082
Western New Mexico Mustangs,#42196F
Western Oregon Wolves,#E31837
Western Washington Vikings,#0E2B58
Westfield State Owls,#00247d
Westminster Griffins,#380E56
Wichita State,#27251F
Widener Prideaka Widener Pioneers,#0057B8
Wilkes Colonels,#002855
Willamette Bearcats,#98002E
William & Mary Tribeaka William and Mary Tribeaka William and Mary Indiansaka William & Mary Indians,#115740
William Carey Crusaders,#D01144
William Jewell Cardinals,#CC0033
William Smith Herons,#00593D
Williams Ephs,#512698
Wilmington Quakers,#024E43
Windsor Lancers,#005596
Winona State Warriors,#4B08A1
Winston-Salem State Rams,#C8102E
Winthrop Eagles,#660000
Wisconsin,#C4012F
Wisconsin–Eau Claire Blugoldsaka Wisconsin-Eau Claire Blugoldsaka University of Wisconsin-Eau Claire Blugoldsaka University of Wisconsin–Eau Claire Blugoldsaka UW-Eau Claire Blugoldsaka UW–Eau Claire Blugolds,#2b3e85
Wisconsin–La Crosse Eaglesaka University of Wisconsin–La Crosse Eaglesaka University of Wisconsin-La Crosse Eaglesaka UW-La Crosse Eaglesaka Wisconsin-La Crosse Eaglesaka UW–La Crosse Eagles,#830019
Wisconsin–Oshkosh Titansaka Wisconsin-Oshkosh Titansaka University of Wisconsin-Oshkosh Titansaka University of Wisconsin–Oshkosh Titansaka UW–Oshkosh Titansaka UW-Oshkosh Titans,#000000
Wisconsin–Parkside Rangersaka Parkside Rangersaka Wisconsin-Parkside Rangers,#004631
Wisconsin–Platteville Pioneersaka University of Wisconsin–Platteville Pioneersaka University of Wisconsin-Platteville Pioneersaka UW-Platteville Pioneersaka Wisconsin-Platteville Pioneersaka UW–Platteville Pioneers,#ff5800
Wisconsin–River Falls Falconsaka UW-River Falls Falconsaka Wisconsin-River Falls Falconsaka University of Wisconsin-River Falls Falconsaka UW–River Falls Falconsaka University of Wisconsin–River Falls Falcons,#C80F2E
University of Wisconsin-Stevens Point,#59178a
Wisconsin–Stout Blue Devilsaka UW-Stout Blue Devilsaka Wisconsin-Stout Blue Devilsaka University of Wisconsin–Stout Blue Devilsaka University of Wisconsin-Stout Blue Devilsaka UW–Stout Blue Devils,#012169
Wisconsin–Superior Yellowjacketsaka UW-Superior Yellowjacketsaka Wisconsin-Superior Yellowjacketsaka University of Wisconsin-Superior Yellowjacketsaka University of Wisconsin–Superior Yellowjacketsaka UW–Superior Yellowjackets,#000000
Wisconsin–Whitewater Warhawksaka Wisconsin-Whitewater Warhawks,#502D7F
Wofford Terriers,#000000
Worcester State Lancers,#003896
Wright State Raiders,#026937
Wyoming,#492F24
Xavier,#0C2340
Yale Bulldogs,#00356B
York Panthers,#005EB8
Young Harris Mountain Lions,#260053
Youngstown State Penguins,#C8102E
